Week 1,,,
,4:25 PM,Buffalo Bills,Kansas City Chiefs
,8:20 PM,Dallas Cowboys,Philadelphia Eagles
Mon Oct 17,8:15 PM,Denver Broncos,Los Angeles Chargers
"Bye: Detroit, Houston, Las Vegas, Tennessee",,,
Week 7,,,
Date,Time (ET),Away Team,Home Team
Thu Oct 20,8:15 PM,New Orleans Saints,Arizona Cardinals
Sun Oct 23,1:00 PM,Atlanta Falcons,Cincinnati Bengals
,1:00 PM,Cleveland Browns,Baltimore Ravens
,1:00 PM,Detroit Lions,Dallas Cowboys
,1:00 PM,Green Bay Packers,Washington Commanders
,1:00 PM,Indianapolis Colts,Tennessee Titans
,1:00 PM,New York Giants,Jacksonville Jaguars
,1:00 PM,Tampa Bay Buccaneers,Carolina Panthers
,4:05 PM,Houston Texans,Las Vegas Raiders
,4:05 PM,New York Jets,Denver Broncos
,4:25 PM,Kansas City Chiefs,San Francisco 49ers
,4:25 PM,Seattle Seahawks,Los Angeles Chargers
,8:20 PM,Pittsburgh Steelers,Miami Dolphins
Mon Oct 24,8:15 PM,Chicago Bears,New England Patriots
"Bye: Buffalo, L.A. Rams, Minnesota, Philadelphia",,,
Week 8,,,
Date,Time (ET),Away Team,Home Team
Thu Oct 27,8:15 PM,Baltimore Ravens,Tampa Bay Buccaneers
Sun Oct 30,9:30 AM,Denver Broncos,Jacksonville Jaguars
,1:00 PM,Arizona Cardinals,Minnesota Vikings
,1:00 PM,Carolina Panthers,Atlanta Falcons
,1:00 PM,Chicago Bears,Dallas Cowboys
,1:00 PM,Las Vegas Raiders,New Orleans Saints
,1:00 PM,Miami Dolphins,Detroit Lions
,1:00 PM,New England Patriots,New York Jets
,1:00 PM,Pittsburgh Steelers,Philadelphia Eagles
,4:05 PM,Tennessee Titans,Houston Texans
,4:25 PM,New York Giants,Seattle Seahawks
,4:25 PM,San Francisco 49ers,Los Angeles Rams
,4:25 PM,Washington Commanders,Indianapolis Colts
,8:20 PM,Green Bay Packers,Buffalo Bills
Mon Oct 31,8:15 PM,Cincinnati Bengals,Cleveland Browns
"¹ This game is being played in London.

 Bye: Kansas City, L.A. Chargers",,,
Week 9,,,
Date,Time (ET),Away Team,Home Team
Thu Nov 3,8:15 PM,Philadelphia Eagles,Houston Texans
Sun Nov 6,1:00 PM,Buffalo Bills,New York Jets
,1:00 PM,Carolina Panthers,Cincinnati Bengals
,1:00 PM,Green Bay Packers,Detroit Lions
,1:00 PM,Indianapolis Colts,New England Patriots
,1:00 PM,Las Vegas Raiders,Jacksonville Jaguars
,1:00 PM,Los Angeles Chargers,Atlanta Falcons
,1:00 PM,Miami Dolphins,Chicago Bears
,1:00 PM,Minnesota Vikings,Washington Commanders
,4:05 PM,Seattle Seahawks,Arizona Cardinals
,4:25 PM,Los Angeles Rams,Tampa Bay Buccaneers
,8:20 PM,Tennessee Titans,Kansas City Chiefs
Mon Nov 7,8:15 PM,Baltimore Ravens,New Orleans Saints
"Bye: Cleveland, Dallas, Denver, N.Y. Giants, Pittsburgh, San Francisco",,,
Week 10,,,
Date,Time (ET),Away Team,Home Team
Thu Nov 10,8:15 PM,Atlanta Falcons,Carolina Panthers
Sun Nov 13,9:30 AM,Seattle Seahawks,Tampa Bay Buccaneers
,1:00 PM,Cleveland Browns,Miami Dolphins
,1:00 PM,Denver Broncos,Tennessee Titans
,1:00 PM,Detroit Lions,Chicago Bears
,1:00 PM,Houston Texans,New York Giants
,1:00 PM,Jacksonville Jaguars,Kansas City Chiefs
,1:00 PM,Minnesota Vikings,Buffalo Bills
,1:00 PM,New Orleans Saints,Pittsburgh Steelers
,4:05 PM,Indianapolis Colts,Las Vegas Raiders
,4:25 PM,Arizona Cardinals,Los Angeles Rams
,4:25 PM,Dallas Cowboys,Green Bay Packers
,8:20 PM,Los Angeles Chargers,San Francisco 49ers
Mon Nov 14,8:15 PM,Washington Commanders,Philadelphia Eagles
"¹ This game is being played in Munich.

 Bye: Baltimore, Cincinnati, New England, N.Y. Jets",,,
Week 11,,,
Date,Time (ET),Away Team,Home Team
Thu Nov 17,8:15 PM,Tennessee Titans,Green Bay Packers
Sun Nov 20,1:00 PM,Carolina Panthers,Baltimore Ravens
,1:00 PM,Chicago Bears,Atlanta Falcons
,1:00 PM,Cleveland Browns,Buffalo Bills
,1:00 PM,Detroit Lions,New York Giants
,1:00 PM,Los Angeles Rams,New Orleans Saints
,1:00 PM,New York Jets,New England Patriots
,1:00 PM,Philadelphia Eagles,Indianapolis Colts
,1:00 PM,Washington Commanders,Houston Texans
,4:05 PM,Las Vegas Raiders,Denver Broncos
,4:25 PM,Dallas Cowboys,Minnesota Vikings
,4:25 PM,Kansas City Chiefs,Los Angeles Chargers
,8:20 PM,Cincinnati Bengals,Pittsburgh Steelers
Mon Nov 21,8:00 PM,San Francisco 49ers,Arizona Cardinals
"Bye: Jacksonville, Miami, Seattle, Tampa Bay",,,
Week 12,,,
Date,Time (ET),Away Team,Home Team
Thu Nov 24,12:30 PM,Buffalo Bills,Detroit Lions
,4:30 PM,New York Giants,Dallas Cowboys
,8:20 PM,New England Patriots,Minnesota Vikings
Sun Nov 27,1:00 PM,Atlanta Falcons,Washington Commanders
,1:00 PM,Baltimore Ravens,Jacksonville Jaguars
,1:00 PM,Chicago Bears,New York Jets
,1:00 PM,Cincinnati Bengals,Tennessee Titans
,1:00 PM,Denver Broncos,Carolina Panthers
,1:00 PM,Houston Texans,Miami Dolphins
,1:00 PM,Tampa Bay Buccaneers,Cleveland Browns
,4:05 PM,Las Vegas Raiders,Seattle Seahawks
,4:05 PM,Los Angeles Chargers,Arizona Cardinals
,4:25 PM,Los Angeles Rams,Kansas City Chiefs
,4:25 PM,New Orleans Saints,San Francisco 49ers
,8:20 PM,Green Bay Packers,Philadelphia Eagles
Mon Nov 28,8:15 PM,Pittsburgh Steelers,Indianapolis Colts
Week 13,,,
Date,Time (ET),Away Team,Home Team
Thu Dec 1,8:15 PM,Buffalo Bills,New England Patriots
Sun Dec 4,1:00 PM,Cleveland Browns,Houston Texans
,1:00 PM,Denver Broncos,Baltimore Ravens
,1:00 PM,Green Bay Packers,Chicago Bears
,1:00 PM,Jacksonville Jaguars,Detroit Lions
,1:00 PM,New York Jets,Minnesota Vikings
,1:00 PM,Pittsburgh Steelers,Atlanta Falcons
,1:00 PM,Tennessee Titans,Philadelphia Eagles
,1:00 PM,Washington Commanders,New York Giants
,4:05 PM,Miami Dolphins,San Francisco 49ers
,4:05 PM,Seattle Seahawks,Los Angeles Rams
,4:25 PM,Kansas City Chiefs,Cincinnati Bengals
,4:25 PM,Los Angeles Chargers,Las Vegas Raiders
,8:20 PM,Indianapolis Colts,Dallas Cowboys
Mon Dec 5,8:15 PM,New Orleans Saints,Tampa Bay Buccaneers
"Bye: Arizona, Carolina",,,
Week 14,,,
Date,Time (ET),Away Team,Home Team
Thu Dec 8,8:15 PM,Las Vegas Raiders,Los Angeles Rams
Sun Dec 11,1:00 PM,Baltimore Ravens,Pittsburgh Steelers
,1:00 PM,Cleveland Browns,Cincinnati Bengals
,1:00 PM,Houston Texans,Dallas Cowboys
,1:00 PM,Jacksonville Jaguars,Tennessee Titans
,1:00 PM,Minnesota Vikings,Detroit Lions
,1:00 PM,New York Jets,Buffalo Bills
,1:00 PM,Philadelphia Eagles,New York Giants
,4:05 PM,Miami Dolphins,Los Angeles Chargers
,4:25 PM,Carolina Panthers,Seattle Seahawks
,4:25 PM,Tampa Bay Buccaneers,San Francisco 49ers
,8:20 PM,Kansas City Chiefs,Denver Broncos
Mon Dec 12,8:15 PM,New England Patriots,Arizona Cardinals
"Bye: Atlanta, Chicago, Green Bay, Indianapolis, New Orleans, Washington",,,
Week 15,,,
Date,Time (ET),Away Team,Home Team
Thu Dec 15,8:15 PM,San Francisco 49ers,Seattle Seahawks
Sun Dec 18,1:00 PM,Atlanta Falcons,New Orleans Saints
,1:00 PM,Baltimore Ravens,Cleveland Browns
,1:00 PM,Dallas Cowboys,Jacksonville Jaguars
,1:00 PM,Detroit Lions,New York Jets
,1:00 PM,Indianapolis Colts,Minnesota Vikings
,1:00 PM,Kansas City Chiefs,Houston Texans
,1:00 PM,Miami Dolphins,Buffalo Bills
,1:00 PM,New York Giants,Washington Commanders
,1:00 PM,Philadelphia Eagles,Chicago Bears
,1:00 PM,Pittsburgh Steelers,Carolina Panthers
,4:05 PM,Arizona Cardinals,Denver Broncos
,4:25 PM,Cincinnati Bengals,Tampa Bay Buccaneers
,4:25 PM,Tennessee Titans,Los Angeles Chargers
,8:20 PM,New England Patriots,Las Vegas Raiders
Mon Dec 19,8:15 PM,Los Angeles Rams,Green Bay Packers
"* Tentative flex schedule game, start time is subject to change.",,,
Week 16,,,
Date,Time (ET),Away Team,Home Team
Thu Dec 22,8:15 PM,Jacksonville Jaguars,New York Jets
Sat Dec 24,1:00 PM,Atlanta Falcons,Baltimore Ravens
,1:00 PM,Buffalo Bills,Chicago Bears
,1:00 PM,Cincinnati Bengals,New England Patriots
,1:00 PM,Detroit Lions,Carolina Panthers
,1:00 PM,Houston Texans,Tennessee Titans
,1:00 PM,New Orleans Saints,Cleveland Browns
,1:00 PM,New York Giants,Minnesota Vikings
,1:00 PM,Seattle Seahawks,Kansas City Chiefs
,4:05 PM,Washington Commanders,San Francisco 49ers
,4:25 PM,Philadelphia Eagles,Dallas Cowboys
,8:15 PM,Las Vegas Raiders,Pittsburgh Steelers
Sun Dec 25,1:00 PM,Green Bay Packers,Miami Dolphins
,4:30 PM,Denver Broncos,Los Angeles Rams
,8:20 PM,Tampa Bay Buccaneers,Arizona Cardinals
Mon Dec 26,8:15 PM,Los Angeles Chargers,Indianapolis Colts
"* Tentative flex schedule game, start time is subject to change.",,,
Week 17,,,
Date,Time (ET),Away Team,Home Team
Thu Dec 29,8:15 PM,Dallas Cowboys,Tennessee Titans
Sat Jan 1,1:00 PM,Arizona Cardinals,Atlanta Falcons
